gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
395,2487,462.5465732,1413.385718,939,1215.219651,405.7
383,753,1975.661452,1421.066922,1096,1238.559312,1708.1
391,244,269.0481293,1432.516212,1198,1298.645242,2304.3
382,1837,286.8744524,1455.782436,1199,1310.763121,1907.9
388,1290,1843.072651,1479.515484,1249,1319.201282,455.8
422,283,430.5774305,1659.01499,1268,1327.787983,1691.3
439,408,1524.790691,1672.04231,1313,1346.329344,605.5
429,509,2462.761651,1689.415544,1342,1401.508781,715.7
433,384,475.977082,1691.373021,1384,1468.589654,401.1
429,2035,417.1347332,1813.559992,1431,1478.455894,339.5
437,2595,2570.738151,1823.846036,1474,1687.87726,246.4
429,2546,333.3328868,1826.122182,1476,2240.73855,462
399,451,288.0069703,1834.869065,1562,746.3441865,271.3
390,462,448.3347015,1849.173675,1565,786.1840296,318.2
345,857,439.9385348,1849.653458,1603,843.82743,1932.8
350,239,473.3890125,1871.872426,1604,856.8214861,327.6
347,411,444.2816924,1872.34492,1646,865.0511776,1848.8
336,419,471.5422579,1879.727732,1698,874.360564,1745.1
363,885,1861.480467,1891.122181,1702,904.93525,1741.4
333,1915,437.2950695,1893.297432,1706,913.2022107,921.3
327,309,253.3449142,1915.793665,1710,914.7363558,324.4
328,563,1122.130894,1915.946576,1753,915.2549115,1726.4
509,462,1444.935414,1917.474808,1754,923.1389981,361.5
353,775,247.3710647,1924.028267,1755,923.409691,490.8
500,440,261.4079511,1928.583302,1756,923.7578897,1755.3
509,441,241,1928.734895,1788,924.9540289,436.6
357,359,244.2,1931.158271,1801,925.2149593,407.5
500,1951,253.3,1933.577679,1829,925.4926483,318.6
318,362,257.9,1938.856361,1851,927.0018302,1687.8
376,1233,258.5,1951.448752,1872,927.2242836,731.4
359,993,258.5,1962.157397,1872,927.7825286,340.8
331,1220,261.3,1972.200253,1903,927.897947,497.9
338,2020,265.3,1972.347433,1908,929.8305708,1643.7
391,270,284.5,1972.494598,1924,930.3190927,454.6
347,375,408.2,1974.406413,1944,930.5435467,290
384,426,410.1,1980.127032,1948,934.9038772,1692.8
336,2368,415.8,1985.679698,1965,938.0658387,2472.1
321,389,416.5,1991.5021,1983,938.3730363,2451
323,2668,417.1,2009.980647,2089,941.2692896,1917.1
483,1304,417.2,2010.267542,2103,942.089028,2477.6
323,426,427,2011.414566,2140,942.2640582,500.1
355,1886,429.8,2012.7039,2192,944.444935,1873.8
319,1698,432.2,2065.445683,2194,944.9144848,310.7
331,295,432.3,2141.888744,2203,954.4204361,477.4
356,869,432.4,2155.723184,2245,964.2208074,381.1
351,261,432.5,2172.384804,2249,971.5148237,1797.1
341,280,433.3,2220.51362,2266,985.4354697,395.8
