JX,LC,LD,BGY,XF,LNT,JBN,ZTS,HMG,LT,WN,CX,GH,XN
241.0,382.0,2118.0,984.6,886.0,359.0,263.8,1664.0,280.9,296.8,991.0,424.0,1849.8,1213.0
273.0,376.0,463.0,484.6,894.0,260.0,3571.6,376.0,685.9,683.3,1056.0,1851.0,333.1,1465.0
2098.0,1152.0,1156.0,872.3,904.0,418.0,2459.9,507.0,348.2,961.2,1658.0,963.0,1852.2,1496.0
270.0,1799.0,146.0,419.5,909.0,1492.0,294.7,1630.0,1430.4,348.9,1398.0,1311.0,1838.2,1528.0
2495.0,1423.0,892.0,452.4,922.0,798.0,2298.3,2371.0,210.0,371.6,1243.0,2446.0,2518.0,1702.0
1834.0,265.0,315.0,2627.7,923.0,403.0,421.1,560.0,506.9,283.9,1429.0,1071.0,1827.2,1666.0
277.0,580.0,396.0,978.9,936.0,19.6,269.6,309.0,885.1,409.4,1487.0,367.0,286.4,1791.0
1111.0,1704.0,485.0,437.6,947.0,2130.0,1928.4,427.0,57.3,729.2,1722.0,2676.0,1876.8,1929.0
1917.0,402.0,189.0,262.4,975.0,804.0,2402.6,397.0,26.6,294.6,1536.0,1918.0,1827.4,1791.0
450.0,2368.0,796.0,821.2,1094.0,330.0,1776.1,212.0,1858.8,203.7,1610.0,475.0,418.4,1791.0
1920.0,574.0,466.0,222.7,1239.0,463.0,491.6,800.0,1894.0,100.7,1828.0,2095.0,326.2,2073.0
264.0,675.0,280.0,955.1,1387.0,869.0,208.5,418.0,479.6,577.4,1665.0,1841.0,327.3,2220.0
1915.0,266.0,435.0,451.1,1544.0,1274.0,443.0,2458.0,1642.3,722.5,1609.0,1774.0,539.9,2050.0
2411.0,196.0,2754.0,380.2,1569.0,26.8,1949.2,2415.0,301.0,404.1,1570.0,1919.0,1929.1,2240.0
1897.0,398.0,745.0,2447.1,1546.0,180.0,1744.8,226.0,277.2,209.3,1724.0,287.0,2448.5,2416.0
2424.0,1892.0,595.0,294.5,1565.0,199.0,214.5,881.0,1763.7,1626.3,1832.0,283.0,929.0,2360.0
284.0,1972.0,742.0,970.9,1476.0,420.0,289.5,678.0,1684.9,1782.1,1791.0,2607.0,1898.2,2569.0
2310.0,200.0,1911.0,1843.7,1769.0,1798.0,447.5,2395.0,412.4,260.4,1865.0,442.0,1893.9,2469.0
263.0,445.0,741.0,2525.8,1546.0,416.0,250.4,1840.0,2037.3,141.9,1951.0,1707.0,1890.8,212.0
288.0,2227.0,1536.0,454.2,1783.0,243.0,2088.2,241.0,203.2,1111.1,1815.0,472.0,264.8,234.0
424.0,443.0,73.0,432.8,1669.0,340.0,741.4,222.0,467.3,482.9,1884.0,281.0,303.2,235.0
304.0,2584.0,291.0,654.0,1809.0,368.0,233.8,409.0,1866.6,936.8,2173.0,956.0,289.9,247.0
1236.0,631.0,370.0,210.4,1921.0,260.0,2383.5,534.0,279.1,242.9,2232.0,422.0,290.0,248.0
2414.0,2583.0,472.0,2539.9,2309.0,941.0,397.4,936.0,803.1,399.1,1981.0,510.0,1829.8,252.0
2385.0,459.0,238.0,1117.3,2406.0,262.0,376.6,197.0,495.3,1836.0,2229.0,477.0,282.5,252.0
439.0,496.0,421.0,1988.6,2607.0,270.0,702.9,601.0,1885.23819898532,238.5,2468.0,2363.0,1698.2,254.0
266.0,405.0,658.0,466.3,152.0,229.0,415.9,434.0,1268.66730583316,430.8,2447.0,1491.0,1878.1,254.0
